id,"recovery","start",value
217,"2021-10-15","2020-10-15",-5000
218,"2020-10-14","2020-09-30",-500
219,"2020-10-13","2020-09-29",-1000
220,"2020-10-12","2020-09-28",-400
221,"2020-10-11","2020-09-27",-200
222,"2020-10-09","2020-09-25",-900
223,"2020-10-08","2020-09-24",-1200
224,"2020-09-30","2020-09-23",-1000
225,"2020-10-07","2020-09-23",-1000
226,"2020-09-29","2020-09-22",-2000
227,"2020-10-06","2020-09-22",-1500
228,"2020-09-28","2020-09-21",-1000
229,"2020-10-05","2020-09-21",-400
230,"2020-09-25","2020-09-18",-1100
231,"2020-10-02","2020-09-18",-600
232,"2020-09-24","2020-09-17",-1100
233,"2020-09-23","2020-09-16",-1200
234,"2021-09-15","2020-09-15",-6000
235,"2020-09-21","2020-09-14",-800
236,"2020-09-18","2020-09-11",-900
237,"2020-09-17","2020-09-10",-1400
238,"2020-09-16","2020-09-09",-1200
239,"2020-09-15","2020-09-08",-1700
240,"2020-09-14","2020-09-07",-1000
241,"2020-09-11","2020-09-04",-1000
242,"2020-09-10","2020-09-03",-1200
243,"2020-09-09","2020-09-02",-200
244,"2020-09-08","2020-09-01",-200
245,"2020-09-07","2020-08-31",-200
246,"2020-09-04","2020-08-28",-500
247,"2020-09-03","2020-08-27",-1000
248,"2020-09-02","2020-08-26",-2000
249,"2020-09-01","2020-08-25",-2500
250,"2020-09-08","2020-08-25",-500
251,"2020-08-31","2020-08-24",-1000
252,"2020-09-07","2020-08-24",-600
253,"2020-08-28","2020-08-21",-1500
254,"2020-09-04","2020-08-21",-500
255,"2020-08-27","2020-08-20",-1600
256,"2020-08-26","2020-08-19",-1500
257,"2020-08-25","2020-08-18",-1000
258,"2020-08-24","2020-08-17",-500
259,"2021-08-17","2020-08-17",-7000
260,"2020-08-21","2020-08-14",-1500
261,"2020-08-20","2020-08-13",-1500
262,"2020-08-19","2020-08-12",-1400
263,"2020-08-18","2020-08-11",-500
264,"2020-08-17","2020-08-10",-100
265,"2020-08-14","2020-08-07",-100
