"id","name","code","isBan","level","description","sort"
603,星期六,"",0,0,"",300
604,电连技术,"",0,0,"",301
605,广联达,"",0,0,"",302
606,长电科技,"",0,0,"",303
607,伊之密,"",0,0,"",304
608,朗新科技,"",0,0,"",305
609,药明生物,"",0,0,"",306
610,兖州煤业,"",0,0,"",123
611,光启技术,"",0,0,"",164
612,海南发展,"",0,0,"",256
613,XD山东黄,"",0,0,"",117
614,石头科技,"",0,0,"",279
615,XD宝钛股,"",0,0,"",94
616,XD派能科,"",0,0,"",210
617,鹏鼎控股,"",0,0,"",274
618,工业富联,"",0,0,"",294
